compound_id,mp_id,formula,bond_type,family,theoretical,energy_above_hull_eV_at,n_sites,sg_number,spacegroup_symbol,icohp_percolation_weight_min,icohp_percolation_weight_min_normalized,icohp_percolation_direction,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_percolation_weight_min,icobi_sum,icobi_mean,icobi_min,icobi_max,vasp_wall_time_s,lobster_wall_time_s
exp_metastable_CaGa4_mp-2461,mp-2461,CaGa4,metallic,exp_metastable,False,0.0016006820000011857,5,12,C2/m,0.019139999999999997,0.004702229013784851,a,-33.26476000000001,-0.3051812844036698,-4.07041,0.00108,0.0037,7.04159,0.06460174311926606,0.00139,0.84476,101.41,200.25
exp_metastable_CdI2_mp-567259,mp-567259,CdI2,,exp_metastable,False,0.0005410511111105798,3,164,P-3m1,0.02384,0.009504558919095631,b,-17.25635999999999,-0.47934333333333307,-2.50827,-0.01185,0.00452,3.64378,0.10121611111111112,0.00225,0.48649,35.02,18.08
exp_metastable_CdO2_mp-2310,mp-2310,CdO2,,exp_metastable,False,0.05623419000000052,12,205,Pa-3,9e-05,1.255526058443343e-05,a,-98.67521000000026,-0.22426184090909151,-7.16831,0.00216,9e-05,13.250850000000021,0.03011556818181823,9e-05,0.9738,128.3,392.34
exp_metastable_ClF3_mp-556767,mp-556767,ClF3,,exp_metastable,False,0.0029946146875001745,16,62,Pnma,0.0,0.0,c,-65.33380000000021,-0.1306676000000004,-6.86126,0.03266,0.0,9.223119999999959,0.01844623999999992,0.0,0.76701,98.9,145.28
exp_metastable_Cs2Se_mp-1011696,mp-1011696,Cs2Se,,exp_metastable,False,0.004232759166664213,12,62,Pnma,0.0262,0.030492772514606272,a,-34.07225000000002,-0.28393541666666683,-0.85922,-0.02499,0.00634,5.189279999999998,0.043243999999999984,0.0032,0.10205,192.19,39.1
exp_metastable_CsH_mp-632319,mp-632319,CsH,,exp_metastable,False,0.016097849999999525,2,221,Pm-3m,0.02662,0.021611879226778596,a,-9.796919999999993,-0.22265727272727256,-1.23173,-0.00549,0.01404,1.1167200000000013,0.025380000000000028,0.00225,0.09369,12.76,6.28
exp_metastable_Cu3Ge_mp-19724,mp-19724,Cu3Ge,metallic,exp_metastable,False,0.01263984624999992,8,59,Pmmn,0.00053,0.0005233069046890273,b,-32.029270000000004,-0.10820699324324326,-1.01279,0.00326,0.00072,6.6215400000000075,0.022370067567567594,0.00036,0.17605,120.93,994.02
exp_metastable_FeTe2_mp-1102002,mp-1102002,FeTe2,,exp_metastable,False,0.04490969833333569,12,205,Pa-3,0.00052,0.0002481721169081572,a,-63.91213,-0.22191711805555556,-2.09532,0.00028,0.0006900000000000001,18.050179999999997,0.0626742361111111,0.00034,0.48885,162.21,251.61
exp_metastable_Ge4Rh_mp-1104286,mp-1104286,Ge4Rh,metallic,exp_metastable,False,0.09073754899999997,15,152,P3_121,0.00208,0.000578145542581253,a,-126.23488000000006,-0.34025574123989233,-3.59771,0.00846,0.00516,25.155179999999984,0.06780371967654981,0.00122,0.64664,210.85,1691.17
exp_metastable_GeSe2_mp-10074,mp-10074,GeSe2,covalent,exp_metastable,False,0.012493755416668861,6,122,I-42d,4e-05,8.049877038128242e-06,a,-41.318490000000004,-0.39729317307692313,-4.96902,0.00119,5e-05,8.40343,0.08080221153846154,5e-05,0.90134,86.38,53.91
exp_metastable_H2O_mp-2739191,mp-2739191,H2O,,exp_metastable,False,0.049447999166666534,12,20,C222_1,0.0,0.0,a,-76.69105000000008,-0.11146954941860476,-8.01825,0.00237,0.0,7.790029999999994,0.011322718023255804,0.0,0.69893,45.43,47.56
exp_metastable_H3N_mp-643432,mp-643432,H3N,covalent,exp_metastable,False,0.0038271875000006617,16,19,P2_12_12_1,0.0,0.0,a,-102.10825999999997,-0.09932710116731515,-8.16313,0.00217,0.0,11.496849999999952,0.011183706225680887,0.0,0.89366,69.07,102.43
exp_metastable_HI_mp-697025,mp-697025,HI,,exp_metastable,False,0.004366291041667303,16,15,C2/c,0.0,0.0,a,-44.56403,-0.18883063559322036,-5.15403,0.0001,0.0,8.510029999999997,0.03605944915254236,0.0,0.92656,102.88,19.92
exp_metastable_IF7_mp-27988,mp-27988,IF7,,exp_metastable,False,0.006252095624999399,16,41,Aea2,0.0,0.0,a,-80.3580800000002,-0.15453476923076961,-6.12565,0.05651,1e-05,9.479359999999948,0.018229538461538363,0.0,0.56187,108.3,153.43
exp_metastable_In3Ir_mp-630976,mp-630976,In3Ir,metallic,exp_metastable,False,0.004296428125002194,16,136,P4_2/mnm,0.00204,0.0004971814200378736,c,-167.64026000000004,-0.5271706289308178,-4.10313,0.00038,0.00536,30.355129999999992,0.09545638364779872,0.00244,0.70687,440.42,2297.8
exp_metastable_InCl_mp-571636,mp-571636,InCl,covalent,exp_metastable,False,0.0016458790624991337,4,36,Cmc2_1,0.0085,0.0043181402531954245,b,-15.428219999999998,-0.2857077777777777,-1.96844,-0.00107,0.00308,3.190400000000001,0.0590814814814815,0.00045,0.3723,42.4,34.91
exp_metastable_K2S_mp-559278,mp-559278,K2S,,exp_metastable,False,0.0872531616666663,6,194,P6_3/mmc,0.01071,0.021871426237542888,b,-14.725430000000003,-0.17530273809523814,-0.48968,-0.01071,0.00064,2.511600000000001,0.02990000000000001,0.00064,0.10413,60.85,39.24
exp_metastable_K_mp-10157,mp-10157,K,,exp_metastable,False,0.006930266250000372,1,225,Fm-3m,0.08067,0.9945752681543584,c,-0.9690000000000002,-0.08075000000000002,-0.08111,-0.0804,0.04301,0.51616,0.04301333333333333,0.043,0.04303,17.32,4.92
exp_metastable_Li13Sn5_mp-30769,mp-30769,Li13Sn5,metallic,exp_metastable,False,0.0033475494444448195,18,164,P-3m1,0.0008500000000000001,0.0003046627741516934,b,-135.51692999999986,-0.23527244791666643,-2.78997,0.16607,0.00236,21.995880000000025,0.038187291666666706,0.00028,0.60777,234.24,885.34
exp_metastable_Li3Hg_mp-1646,mp-1646,Li3Hg,metallic,exp_metastable,False,0.0012975900000000706,4,225,Fm-3m,0.0012,0.0006680770515532791,c,-31.15397000000001,-0.22252835714285724,-1.7962,0.02337,0.00243,4.22476,0.03017685714285714,0.00091,0.19753,56.21,111.57
exp_metastable_MgCl2_mp-570259,mp-570259,MgCl2,ionic,exp_metastable,False,0.0006391266666669893,3,164,P-3m1,0.00019,0.00020353944380168833,c,-6.3558699999999995,-0.0963010606060606,-0.93348,-0.00019,1e-05,0.9877900000000005,0.01496651515151516,1e-05,0.13124,30.67,27.75
exp_metastable_MgH2_mp-23711,mp-23711,MgH2,,exp_metastable,False,0.0018755891666670799,12,60,Pbcn,1e-05,1.4829314589079692e-05,a,-15.237529999999985,-0.027209874999999974,-0.67434,0.01366,0.0,3.553290000000004,0.006345160714285722,0.0,0.14695,34.65,33.44
exp_metastable_MgPd3_mp-7753,mp-7753,MgPd3,metallic,exp_metastable,False,0.01137175124999068,4,221,Pm-3m,0.00221,0.0012346437689596031,a,-30.196539999999995,-0.2096981944444444,-1.78999,0.00423,0.00011,5.304309999999998,0.0368354861111111,1e-05,0.25523,62.78,435.94
exp_metastable_Mo3Se4_mp-21021,mp-21021,Mo3Se4,,exp_metastable,False,0.06087143499999925,14,148,R-3,0.00184,0.0006970779552885107,b,-101.47260999999999,-0.3873000381679389,-2.63959,6e-05,0.00041,25.55940999999999,0.09755499999999996,0.00013,0.62532,210.43,255.69
exp_metastable_NaN3_mp-1066400,mp-1066400,NaN3,,exp_metastable,False,0.0029249474999994973,4,160,R3m,0.0007,3.6954524817603024e-05,a,-42.82389999999999,-0.317214074074074,-18.9422,0.0007,4e-05,5.088849999999999,0.03769518518518518,4e-05,1.90013,68.06,38.22
exp_metastable_Nb2O5_mp-1595,mp-1595,Nb2O5,,exp_metastable,False,0.007537548265307947,7,12,C2/m,9.999999999999999e-05,1.137781985042718e-05,c,-65.10020999999995,-0.2701253526970952,-8.78903,0.00406,8e-05,10.802569999999978,0.0448239419087136,2e-05,1.54437,77.85,155.22
exp_metastable_NiB_mp-14019,mp-14019,NiB,,exp_metastable,False,0.0018463106250017347,4,63,Cmcm,0.00041,6.628190827230548e-05,c,-41.608700000000006,-0.15410629629629632,-6.1857,0.0031,0.00074,7.152239999999997,0.02648977777777777,0.00027,0.69959,58.2,519.0
exp_metastable_NiHg4_mp-570835,mp-570835,NiHg4,metallic,exp_metastable,False,0.01705295800000073,5,229,Im-3m,0.00109,0.00048824406828250073,c,-40.18178000000001,-0.3720535185185186,-2.23249,0.00736,0.00221,7.332370000000001,0.06789231481481482,0.00216,0.31289,107.18,241.76
exp_metastable_NiS_mp-1547,mp-1547,NiS,,exp_metastable,False,0.014181840833332515,6,160,R3m,0.0003,0.00017371666811430555,a,-31.109519999999993,-0.12802271604938267,-1.72695,0.00152,0.00099,7.116830000000002,0.02928736625514404,0.00017,0.28097,134.67,242.08
exp_metastable_PS_mp-612,mp-612,PS,covalent,exp_metastable,False,0.026489451484373205,16,15,C2/c,8e-05,1.3463933488168571e-05,c,-111.38079000000012,-0.39496734042553233,-5.9418,0.06036,0.00017,21.31196,0.07557432624113475,2e-05,0.99077,158.87,114.01
exp_metastable_PbAu2_mp-19871,mp-19871,PbAu2,metallic,exp_metastable,False,0.004742635416668861,6,227,Fd-3m,0.00201,0.0008404626307734766,c,-56.00781,-0.3333798214285714,-2.39154,0.0033,0.00352,8.898700000000002,0.052968452380952394,0.0035,0.30531,94.51,285.6
exp_metastable_PbSe_mp-22009,mp-22009,PbSe,covalent,exp_metastable,False,0.07310882999999535,4,42,Fmm2,0.01682,0.006517990350894189,b,-17.72987000000001,-0.4221397619047621,-2.58055,-0.00216,0.0101,4.581039999999999,0.10907238095238092,0.00191,0.71888,51.71,21.85
exp_metastable_Rb2Hg7_mp-31474,mp-31474,Rb2Hg7,metallic,exp_metastable,False,0.00452349037037425,9,164,P-3m1,0.03138,0.014383806529093058,a,-52.410810000000005,-0.4852852777777778,-2.18162,-0.01567,0.00843,9.955439999999998,0.09217999999999998,0.00415,0.42966,157.4,147.73
exp_metastable_Re3Ge7_mp-29141,mp-29141,Re3Ge7,metallic,exp_metastable,False,0.012616640750003683,20,63,Cmcm,0.00242,0.0005865429594243153,c,-211.99109999999985,-0.3343708201892742,-4.12587,0.0011,0.00368,43.85449000000005,0.0691711198738171,0.00046,0.65635,733.51,6675.45
exp_metastable_SiO2_mp-546794,mp-546794,SiO2,covalent,exp_metastable,False,0.005647450555557043,6,122,I-42d,0.00015,1.8886407075099908e-05,a,-67.31446999999997,-0.2952389035087718,-7.94222,0.00033,2e-05,6.689900000000008,0.0293416666666667,2e-05,0.74696,57.12,101.27
exp_metastable_SiRh_mp-2287,mp-2287,SiRh,metallic,exp_metastable,False,0.02456185499999819,8,14,P2_1/c,0.01101,0.005468905225511624,c,-70.51225000000005,-0.24314568965517258,-2.0132,-0.00125,0.00596,14.216319999999994,0.04902179310344826,0.00127,0.36716,71.62,337.64
exp_metastable_SiS2_mp-1095294,mp-1095294,SiS2,covalent,exp_metastable,False,0.003013171666665926,12,14,P2_1/c,0.0001,1.6844403194372624e-05,c,-98.06875999999994,-0.4417511711711709,-5.93669,0.00325,5e-05,16.93051999999999,0.07626360360360356,2e-05,0.92717,84.63,50.3
exp_metastable_Sn7Ir5_mp-20466,mp-20466,Sn7Ir5,metallic,exp_metastable,False,0.002421364999996456,12,107,I4mm,0.01002,0.0020458875006891084,b,-151.67025000000018,-0.5878691860465123,-4.89763,0.02233,0.00577,26.705249999999996,0.10350872093023254,0.00169,0.78936,263.43,1241.52
exp_metastable_Sr2As_mp-15697,mp-15697,Sr2As,,exp_metastable,False,0.08000544425926037,6,139,I4/mmm,0.00206,0.003772271969821825,a,-9.587539999999997,-0.10092147368421049,-0.54609,0.0441,0.00129,2.835899999999999,0.029851578947368413,0.00077,0.15654,76.08,48.06
exp_metastable_Sr5Sn3_mp-17720,mp-17720,Sr5Sn3,metallic,exp_metastable,False,0.003021452500000521,16,140,I4/mcm,0.010790000000000001,0.005130985158661094,c,-30.103280000000005,-0.19547584415584418,-2.10291,-0.00254,0.01174,10.295069999999997,0.06685110389610388,0.00156,0.81834,374.97,164.19
exp_metastable_SrAl2_mp-1638,mp-1638,SrAl2,metallic,exp_metastable,False,0.013571949999999333,6,227,Fd-3m,0.00536,0.0032014717213286106,b,-29.716160000000016,-0.17688190476190485,-1.67423,0.01177,0.00044,7.70487,0.045862321428571426,0.00044,0.42847,46.44,41.23
exp_metastable_Ta7Co6_mp-1104548,mp-1104548,Ta7Co6,metallic,exp_metastable,False,0.0014632612820477675,13,166,R-3m,0.00031,7.586157953597185e-05,b,-161.79730999999992,-0.3571684547461367,-4.08639,0.29554,0.00346,35.34048,0.07801430463576159,0.00293,0.68664,610.47,3963.52
exp_metastable_Te2Au_mp-567525,mp-567525,Te2Au,,exp_metastable,False,0.027432493333336083,3,12,C2/m,0.01618,0.004305928502425744,c,-25.398409999999988,-0.4703409259259257,-3.75761,-0.00401,0.00613,4.63244,0.08578592592592592,0.00205,0.61482,33.69,27.03
exp_metastable_Te2Ir_mp-1551,mp-1551,Te2Ir,,exp_metastable,False,0.0030421406944398655,9,12,C2/m,0.0028,0.0005575268110661108,b,-98.73954000000002,-0.6249337974683545,-5.02218,0.00049,0.00054,18.569850000000013,0.11753069620253173,0.00054,0.80215,85.03,81.39
exp_metastable_Ti3Ge_mp-1189044,mp-1189044,Ti3Ge,metallic,exp_metastable,False,0.013003969652777059,16,82,I-4,0.013989999999999999,0.0073629253813037475,c,-106.94012999999994,-0.23711780487804865,-1.90006,-0.00184,0.0119,33.52406999999997,0.07433274944567622,0.00106,0.46204,564.3,3152.56
exp_metastable_Y2O3_mp-558573,mp-558573,Y2O3,,exp_metastable,False,0.03422779625000061,15,12,C2/m,5e-05,1.2255953329329722e-05,a,-146.7362,-0.28382243713733074,-4.07965,0.01349,8e-05,19.88075999999998,0.03845408123791099,4e-05,0.55074,243.14,824.21
exp_metastable_ZnAg_mp-1912,mp-1912,ZnAg,metallic,exp_metastable,False,0.011211470555556602,2,221,Pm-3m,0.00967,0.005101690891345063,b,-25.461210000000012,-0.303109642857143,-1.89545,0.02377,0.00489,3.6073399999999993,0.0429445238095238,0.00136,0.20493,37.23,221.01
exp_metastable_ZrBr_mp-1065846,mp-1065846,ZrBr,,exp_metastable,False,0.0007946975000017176,4,12,C2/m,0.00788,0.0038831889457240573,b,-28.445439999999998,-0.355568,-2.02926,-7e-05,0.0008600000000000001,7.604680000000001,0.09505850000000002,2e-05,0.6016,51.28,74.21
exp_metastable_ZrGa3_mp-30685,mp-30685,ZrGa3,metallic,exp_metastable,False,0.013019501250001397,4,139,I4/mmm,0.00764,0.002843965321490923,c,-46.22906000000001,-0.3302075714285715,-2.68639,-0.00688,0.00334,8.170959999999997,0.05836399999999998,0.00241,0.37537,55.64,295.21
exp_metastable_ZrRh_mp-2808,mp-2808,ZrRh,metallic,exp_metastable,False,0.08393397999999763,2,221,Pm-3m,0.035,0.023392438227254196,a,-20.64423,-0.24576464285714286,-1.49621,-0.00974,0.019229999999999997,4.9204799999999995,0.05857714285714285,0.00955,0.30773,33.04,193.04
exp_stable_As2S3_mp-1189572,mp-1189572,As2S3,covalent,exp_stable,False,0.0,20,2,P-1,1e-05,2.06758522586301e-06,a,-119.06003000000004,-0.3235326902173914,-4.83656,0.00013,0.00035000000000000005,25.12989999999999,0.0682877717391304,2e-05,0.9327,187.06,96.24
exp_stable_AsF3_mp-28027,mp-28027,AsF3,covalent,exp_stable,False,0.0,16,33,Pna2_1,0.0,0.0,c,-82.78325000000011,-0.17246510416666688,-6.42265,4e-05,0.0,9.839800000000006,0.020499583333333345,0.0,0.70666,112.26,149.89
exp_stable_BI3_mp-23189,mp-23189,BI3,covalent,exp_stable,False,0.0,8,176,P6_3/m,1e-05,1.4691989780251911e-06,c,-41.67015999999997,-0.5342328205128201,-6.80643,1e-05,0.00048,8.364320000000003,0.10723487179487183,0.00024,1.27271,81.92,19.16
exp_stable_BW_mp-7832,mp-7832,BW,,exp_stable,False,0.0,8,141,I4_1/amd,0.00019,4.795001085184456e-05,a,-153.42438999999996,-0.4102256417112298,-3.96246,0.00759,0.00065,22.212380000000007,0.05939139037433157,0.00032,0.4282,2.0,
exp_stable_BaAu2_mp-30363,mp-30363,BaAu2,metallic,exp_stable,False,0.0,3,191,P6/mmm,0.05189,0.016769218836851563,b,-24.558259999999994,-0.4093043333333332,-3.09436,0.00827,0.00717,4.284330000000001,0.07140550000000001,0.00716,0.6194,40.91,63.93
exp_stable_BaCl2_mp-568662,mp-568662,BaCl2,ionic,exp_stable,False,0.0,3,225,Fm-3m,0.01314,0.025981729742555467,c,-5.695409999999996,-0.11390819999999993,-0.50574,-0.01311,0.0024,0.77914,0.0155828,0.0024,0.07607,36.63,12.86
exp_stable_BaH2_mp-23715,mp-23715,BaH2,,exp_stable,False,0.0,12,62,Pnma,0.00024,0.0005154528468031185,a,-15.344099999999994,-0.051838175675675655,-0.46561,0.00026,0.0,3.5212399999999966,0.01189608108108107,0.0,0.0859,46.78,22.51
exp_stable_Be2Cu_mp-2031,mp-2031,Be2Cu,metallic,exp_stable,False,0.0,6,227,Fd-3m,0.00115,0.00037108625012503995,b,-54.23028000000003,-0.14122468750000008,-3.09901,0.00073,0.00146,7.755099999999995,0.020195572916666654,0.00017,0.3618,105.04,926.94
exp_stable_Be2Nb3_mp-11272,mp-11272,Be2Nb3,metallic,exp_stable,False,0.0,10,127,P4/mbm,0.00636,0.0017947697699816291,b,-101.50272999999996,-0.2967916081871344,-3.54363,-0.00316,0.00376,22.61356000000001,0.06612152046783629,0.00188,0.42005,170.9,616.63
exp_stable_Be2V_mp-11281,mp-11281,Be2V,metallic,exp_stable,False,0.0,12,194,P6_3/mmc,0.0006799999999999999,0.00019833515140555455,b,-124.87985999999991,-0.20012798076923063,-3.42854,0.01152,0.00125,22.59957,0.03621725961538461,0.00063,0.47771,204.93,1194.12
exp_stable_CaAl4_mp-1749,mp-1749,CaAl4,metallic,exp_stable,False,0.0,5,139,I4/mmm,0.01027,0.0030124546078529146,c,-28.716510000000003,-0.28432188118811885,-3.40918,0.00776,0.00284,7.004550000000004,0.06935198019801984,0.00158,0.81937,51.39,47.57
exp_stable_CaSn_mp-2450,mp-2450,CaSn,metallic,exp_stable,False,0.0,4,63,Cmcm,0.00523,0.0023786350364299554,b,-11.578689999999998,-0.17543469696969693,-2.19874,-0.00158,0.00033,3.47173,0.052601969696969696,0.00033,0.70474,44.79,48.05
exp_stable_CdPd_mp-1696,mp-1696,CdPd,metallic,exp_stable,False,0.0,4,123,P4/mmm,8.999999999999999e-05,5.485898193920405e-05,b,-39.636970000000005,-0.2752567361111111,-1.64057,0.00421,0.00371,5.952830000000003,0.041339097222222246,0.00185,0.20234,40.5,273.58
exp_stable_CoB_mp-20857,mp-20857,CoB,,exp_stable,False,0.0,8,62,Pnma,6.000000000000001e-05,1.2995648623652515e-05,c,-123.77905000000011,-0.23803663461538482,-4.61693,0.00352,0.00029,18.171449999999997,0.034945096153846146,8e-05,0.45704,134.29,1741.99
exp_stable_Cs2As3_mp-15557,mp-15557,Cs2As3,,exp_stable,False,0.0,10,69,Fmmm,0.020220000000000002,0.004556003695275005,c,-41.43429000000001,-0.36667513274336294,-4.4381,0.01261,0.00617,9.91506,0.08774389380530974,0.0019,1.05068,120.45,31.81
exp_stable_FeS_mp-505531,mp-505531,FeS,,exp_stable,False,0.0,4,129,P4/nmm,0.00305,0.001154314866818557,a,-25.810960000000016,-0.20815290322580657,-2.64226,-0.00144,0.001,7.475000000000003,0.060282258064516155,0.0007,0.50508,52.41,128.32
exp_stable_Ge2Os_mp-10032,mp-10032,Ge2Os,metallic,exp_stable,False,0.0,6,12,C2/m,0.01212,0.0025492765481281115,a,-63.51890000000001,-0.3396732620320856,-4.75429,0.00178,0.0035399999999999997,12.961520000000005,0.06931294117647062,0.00062,0.71948,114.24,498.25
exp_stable_HfTc2_mp-1095669,mp-1095669,HfTc2,metallic,exp_stable,False,0.0,12,194,P6_3/mmc,0.01767,0.008929473833154778,a,-103.11783000000008,-0.291293305084746,-1.97884,-0.01643,0.00739,29.807849999999988,0.08420296610169488,0.00556,0.54338,200.97,1293.32
exp_stable_Hg4Pt_mp-936,mp-936,Hg4Pt,metallic,exp_stable,False,0.0,5,229,Im-3m,0.00336,0.0009373300043239927,a,-47.38755,-0.4387736111111111,-3.58465,0.00515,0.00272,7.688770000000001,0.07119231481481482,0.00266,0.54821,92.16,263.57
exp_stable_HgF2_mp-8177,mp-8177,HgF2,,exp_stable,False,0.0,3,225,Fm-3m,0.00895,0.004773358791246887,c,-18.89969000000001,-0.1889969000000001,-1.87499,-0.00051,0.00364,2.3729999999999984,0.023729999999999984,0.00046,0.23208,50.81,146.36
exp_stable_InBr_mp-22870,mp-22870,InBr,covalent,exp_stable,False,0.0,4,63,Cmcm,0.01022,0.0051640677897587745,b,-16.227399999999996,-0.30050740740740733,-1.97906,-0.00079,0.00372,3.487120000000003,0.06457629629629635,0.00042,0.3925,48.48,35.26
exp_stable_KI_mp-22898,mp-22898,KI,ionic,exp_stable,False,0.0,2,225,Fm-3m,0.02264,0.049563256638718016,b,-3.723,-0.1241,-0.45679,-0.02264,0.00391,0.66886,0.022295333333333334,0.00391,0.08971,22.66,7.69
exp_stable_KN3_mp-827,mp-827,KN3,,exp_stable,False,0.0,8,140,I4/mcm,0.00028,1.5127187229196334e-05,c,-85.50082000000005,-0.33139852713178314,-18.50972,0.00069,6e-05,10.171939999999987,0.0394261240310077,6e-05,1.8894,71.71,68.81
exp_stable_Li2Se_mp-2286,mp-2286,Li2Se,,exp_stable,False,0.0,3,225,Fm-3m,0.011649999999999999,0.005127166943196271,c,-25.065440000000006,-0.25065440000000005,-2.27221,0.10801,0.0015999999999999999,3.5640699999999996,0.0356407,0.00063,0.34399,28.64,35.14
exp_stable_LiB_mp-1001835,mp-1001835,LiB,,exp_stable,False,0.0,4,194,P6_3/mmc,0.0029100000000000003,0.0002914765641824383,c,-41.39096999999998,-0.22253209677419344,-9.98365,0.01439,0.0006399999999999999,5.121950000000001,0.027537365591397855,0.00031,1.15719,28.69,83.15
exp_stable_Mg2Ni_mp-2137,mp-2137,Mg2Ni,metallic,exp_stable,False,0.0,18,180,P6_222,0.00016,0.0006327862368993475,b,-14.289439999999999,-0.026461925925925923,-0.25285,0.0016,1e-05,5.110290000000001,0.009463500000000001,0.0,0.08379,327.41,804.05
exp_stable_MgP4_mp-384,mp-384,MgP4,,exp_stable,False,0.0,10,14,P2_1/c,0.0,0.0,a,-61.825230000000026,-0.25338209016393454,-5.26131,0.00017,0.00014,12.471980000000002,0.05111467213114755,0.00013,0.95183,52.03,51.03
exp_stable_MnAl12_mp-1104165,mp-1104165,MnAl12,metallic,exp_stable,False,0.0,13,204,Im-3,0.014249999999999999,0.007848817995549581,b,-118.34457999999994,-0.32334584699453534,-1.81556,0.0006,0.00787,22.417619999999996,0.06125032786885245,0.00196,0.30987,114.5,98.51
exp_stable_MoSe2_mp-1634,mp-1634,MoSe2,covalent,exp_stable,False,0.0,6,194,P6_3/mmc,0.00116,0.00040683054455671255,a,-47.29102000000001,-0.3152734666666667,-2.85131,-0.00032,0.00129,12.853830000000007,0.08569220000000005,0.00028,0.64226,68.15,94.53
exp_stable_NaS_mp-2400,mp-2400,NaS,,exp_stable,False,0.0,8,194,P6_3/mmc,0.0,0.0,b,-23.49327999999999,-0.11404504854368928,-4.72364,0.00281,0.00015000000000000001,4.52693,0.021975388349514565,7e-05,0.95101,55.9,48.72
exp_stable_Na_mp-10172,mp-10172,Na,,exp_stable,False,0.0,2,194,P6_3/mmc,0.00197,0.021253641169489697,c,-1.5040200000000004,-0.06266750000000001,-0.09269,0.00101,0.00141,0.8499599999999998,0.035414999999999995,0.0007,0.0539,9.29,5.12
exp_stable_Nb3Ir_mp-1458,mp-1458,Nb3Ir,metallic,exp_stable,False,0.0,8,223,Pm-3n,0.00902,0.003531631989851452,a,-87.73991000000001,-0.3454327165354331,-2.55406,-0.00367,0.01185,22.331320000000012,0.0879185826771654,0.00413,0.63111,130.0,607.84
exp_stable_NbGa3_mp-1973,mp-1973,NbGa3,metallic,exp_stable,False,0.0,4,139,I4/mmm,0.00858,0.0035043150452742805,c,-43.12708999999999,-0.3080506428571428,-2.44841,0.00661,0.00206,8.487280000000002,0.060623428571428585,0.00206,0.38593,79.04,409.37
