compound_dir,reduced_formula,n_sites,icohp_per_atom,delta_icohp_per_atom_vs_most_bonding,compound_id,mp_id,family,theoretical,energy_above_hull_eV_per_atom
/home/gilles/viability/mp_dataset/structures/extension_K2O_theo_mp-1223784,K2O,3,-2.0698366666666663,1.1281266666666645,extension_K2O_theo_mp-1223784,mp-1223784,extension,True,0.19996455333333385
/home/gilles/viability/mp_dataset/structures/exp_metastable_K2S_mp-559278,K2S,6,-2.454238333333334,0.0,exp_metastable_K2S_mp-559278,mp-559278,exp_metastable,False,0.0872531616666663
/home/gilles/viability/mp_dataset/structures/extension_K2S_exp_mp-1022,K2S,3,-2.3473633333333335,0.1068750000000005,extension_K2S_exp_mp-1022,mp-1022,extension,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_KF3_theo_mp-2749823,KF3,32,-1.7501924999999992,0.0,extension_KF3_theo_mp-2749823,mp-2749823,extension,True,0.011928009062500244
/home/gilles/viability/mp_dataset/structures/extension_KF3_exp_mp-1544557,KF3,32,-1.7495640625000002,0.0006284374999989684,extension_KF3_exp_mp-1544557,mp-1544557,extension,False,0.01249103906249971
/home/gilles/viability/mp_dataset/structures/exp_stable_KN3_mp-827,KN3,8,-10.687602500000006,0.0,exp_stable_KN3_mp-827,mp-827,exp_stable,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_KN3_theo_mp-636056,KN3,8,-6.56028875,4.127313750000006,extension_KN3_theo_mp-636056,mp-636056,extension,True,1.0369771337499998
/home/gilles/viability/mp_dataset/structures/extension_KP_theo_mp-1057787,KP,2,-2.2786549999999997,0.0,extension_KP_theo_mp-1057787,mp-1057787,extension,True,1.0092306499999992
/home/gilles/viability/mp_dataset/structures/extension_KP_exp_mp-1058315,KP,2,-2.25534,0.023314999999999753,extension_KP_exp_mp-1058315,mp-1058315,extension,False,1.008041285
/home/gilles/viability/mp_dataset/structures/extension_Li2O_exp_mp-1960,Li2O,3,-9.747726666666667,0.0,extension_Li2O_exp_mp-1960,mp-1960,extension,False,0.0
/home/gilles/viability/mp_dataset/structures/extension_Li2O_theo_mp-755894,Li2O,12,-9.35926833333333,0.388458333333336,extension_Li2O_theo_mp-755894,mp-755894,extension,True,0.0843597108333336
/home/gilles/viability/mp_dataset/structures/extension_Li2S_exp_mp-1125,Li2S,12,-8.31120583333333,0.0,extension_Li2S_exp_mp-1125,mp-1125,extension,False,0.061509288333333245
/home/gilles/viability/mp_dataset/structures/extension_Li2S_theo_mp-557142,Li2S,6,-7.965921666666666,0.34528416666666484,extension_Li2S_theo_mp-557142,mp-557142,extension,True,0.1749633300000002
/home/gilles/viability/mp_dataset/structures/extension_LiCl_exp_mp-22905,LiCl,8,-7.593713750000001,0.0,extension_LiCl_exp_mp-22905,mp-22905,extension,False,0.02431463874999995
/home/gilles/viability/mp_dataset/structures/extension_LiCl_theo_mp-1185319,LiCl,4,-7.291155,0.3025587500000011,extension_LiCl_theo_mp-1185319,mp-1185319,extension,True,0.0038527562499997003
/home/gilles/viability/mp_dataset/structures/extension_LiF_theo_mp-1009009,LiF,2,-9.60295999999999,0.0,extension_LiF_theo_mp-1009009,mp-1009009,extension,True,0.2875420599999998
