compound_id,mp_id,formula,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom_eV,delta_energy_per_atom_eV,delta_icohp_per_atom_eV,bonding_label,viability_label,warnings
extension_Na3Si34_mp-1221235,mp-1221235,Na3Si34,True,0.05178974374999967,0.0405419705405396,-0.0405419705405396,-0.42703567567567563,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_NaN3_exp_mp-22003,mp-22003,NaN3,False,0.0017140024999999781,-0.16524831906250004,0.16524831906250004,2.172628749999989,endobondic,stable_on_hull,
extension_NaN3_mp-1066400,mp-1066400,NaN3,False,0.0029249474999994973,-0.16403737406250052,0.16403737406250052,1.8936212499999971,endobondic,stable_on_hull,
extension_NaN3_mp-22003,mp-22003,NaN3,False,0.0017140024999999781,-0.16524831906250004,0.16524831906250004,2.172628749999989,endobondic,stable_on_hull,
extension_NaN3_mp-634410,mp-634410,NaN3,True,0.26956520750000035,0.10260288593750033,-0.10260288593750033,2.9023062499999934,endobondic,metastable_viable,
extension_NaN3_theo_mp-1065265,mp-1065265,NaN3,True,1.0162235174999994,0.8492611959374994,-0.8492611959374994,-1.7320137499999966,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_NaP15_mp-1194653,mp-1194653,NaP15,False,0.0,-0.09604733279017807,0.09604733279017807,-0.06724444196429324,exobondic,stable_on_hull,
extension_NaP5_mp-31086,mp-31086,NaP5,False,0.009960415000000111,-0.2311929974801584,0.2311929974801584,-0.019864365079364177,exobondic,stable_on_hull,
extension_NaS_exp_mp-409,mp-409,NaS,False,0.002286554999999524,-1.0019840564062494,1.0019840564062494,-0.49107906249999944,exobondic,stable_on_hull,
extension_NaS_theo_mp-1180106,mp-1180106,NaS,True,1.0060650862499996,0.001794474843749505,-0.001794474843749505,-2.3998865624999977,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Nb3Ni_mp-999394,mp-999394,Nb3Ni,True,0.21315346375000033,0.10147116499999953,-0.10147116499999953,-6.850482499999998,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_Nb4Rh_mp-1220441,mp-1220441,Nb4Rh,True,0.08011662799999897,-0.1236687819999986,0.1236687819999986,-4.876056000000004,exobondic,stable_on_hull,
extension_NbCd3_mp-11309,mp-11309,NbCd3,False,0.14487106500000024,0.14487106500000024,-0.14487106500000024,-6.465144999999994,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_NbO_anchor_mp-2692,mp-2692,NbO,False,0.7887604083333315,-1.4989005225000014,1.4989005225000014,-2.3178668749999964,exobondic,stable_on_hull,
extension_NbO_poly_mp-634965,mp-634965,NbO,True,0.8240059083333318,-1.4636550225000011,1.4636550225000011,-3.1494918749999776,exobondic,stable_on_hull,
extension_NbP_anchor_mp-9830,mp-9830,NbP,False,0.6020631175000002,-0.38660015232142797,0.38660015232142797,-2.4724113690476184,exobondic,stable_on_hull,
extension_NbP_poly_mp-1220317,mp-1220317,NbP,True,0.6208620024999991,-0.36780126732142904,0.36780126732142904,-1.173118869047629,exobondic,stable_on_hull,
extension_NbZn16_mp-640041,mp-640041,NbZn16,False,0.0,-0.04627868882353091,0.04627868882353091,-7.122330882352929,exobondic,stable_on_hull,
extension_Ni3Mo_mp-11506,mp-11506,Ni3Mo,False,0.0,-0.05244866624999922,0.05244866624999922,-4.295426249999997,exobondic,stable_on_hull,
extension_NiSb3_mp-1106023,mp-1106023,NiSb3,False,0.01561135500000077,-0.12569948624999938,0.12569948624999938,-0.21359875000000184,exobondic,stable_on_hull,
extension_OsC_anchor_mp-7142,mp-7142,OsC,False,0.9160852612500001,0.9160852612500001,-0.9160852612500001,-2.0167674999999967,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_OsC_poly_mp-1009537,mp-1009537,OsC,True,1.4795162512500006,1.4795162512500006,-1.4795162512500006,-2.3183875000000054,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_OsC_poly_mp-1009539,mp-1009539,OsC,True,1.3918186662499998,1.3918186662499998,-1.3918186662499998,-3.114102500000005,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_OsC_poly_mp-999308,mp-999308,OsC,True,0.9277737837499984,0.9277737837499984,-0.9277737837499984,-2.9571924999999997,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_P4Se5_mp-2447,mp-2447,P4Se5,False,0.00974189644444401,-0.07269891635747348,0.07269891635747348,0.3563482275132333,endobondic,stable_on_hull,
extension_PNO_mp-675742,mp-675742,PNO,True,1.4997472041111104,0.07875318456349195,-0.07875318456349195,0.6743917261904736,endobondic,metastable_viable,
extension_PW3_mp-1209828,mp-1209828,PW3,True,0.057999603124997634,-0.12412992886905272,0.12412992886905272,-11.879273809523806,exobondic,stable_on_hull,
extension_Pb2Au_mp-22795,mp-22795,Pb2Au,False,0.0,-0.08921331333333644,0.08921331333333644,-6.811814999999998,exobondic,stable_on_hull,
extension_PbAu3_mp-982246,mp-982246,PbAu3,True,0.081645635000001,0.028900653437503365,-0.028900653437503365,-10.803705000000003,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
extension_PbN6_mp-620058,mp-620058,PbN6,False,0.1096255538095221,0.10962555380951872,-0.10962555380951872,1.6854557142857516,endobondic,metastable_viable,
extension_PbN6_mp-667338,mp-667338,PbN6,False,0.10931083119047358,0.10931083119047139,-0.10931083119047139,1.694572023809554,endobondic,metastable_viable,
extension_Rb2O_exp_mp-1394,mp-1394,Rb2O,False,0.0031695866666665573,-1.1299987866666665,1.1299987866666665,0.7235354166666644,endobondic,stable_on_hull,
extension_Rb2O_theo_mp-2023482,mp-2023482,Rb2O,True,0.047853428888886995,-1.0192492748611117,1.0192492748611117,-0.7591862500000012,exobondic,stable_on_hull,
