bond_type_group,formula,compound_id,mp_id,spacegroup_symbol,theoretical,antibond_w_raw,pct_vs_ground_state_icohp,delta_icohp_antibond,icobi_antibond_w_raw,pct_vs_ground_state_icobi,delta_icobi_antibond,dH_eV_at
metallic,NbO,extension_NbO_poly_mp-634965,mp-634965,P4/mmm,True,0.0,-100.0,0.015006531175,0.0,-100.0,0.002156199625,0.03524550000000026
metallic,NbP,extension_NbP_anchor_mp-9830,mp-9830,I4_1/amd,False,3.404419999999999e-05,0.0,0.004470970775,0.0,,0.0,0.0
metallic,NbP,extension_NbP_poly_mp-1220317,mp-1220317,Cmmm,True,0.0021939924,6344.540920332982,0.0023110225749999,2.40288e-05,,-2.40288e-05,0.018798884999998933
metallic,OsC,extension_OsC_anchor_mp-7142,mp-7142,P-6m2,False,0.0084556142,0.0,-0.0007128911499999,0.00027860265,0.0,0.00023591275,0.0
metallic,OsC,extension_OsC_poly_mp-999308,mp-999308,P6_3/mmc,True,0.01302032645,53.98439595316448,-0.0052776034,0.00100151565,259.47814925665637,-0.0004870002499999,0.01168852249999841
metallic,OsC,extension_OsC_poly_mp-1009539,mp-1009539,Fm-3m,True,0.0167884711,98.54821545666076,-0.00904574805,0.0002377965999999,-14.646684085775922,0.0002767188000001,0.47573340499999983
metallic,OsC,extension_OsC_poly_mp-1009537,mp-1009537,Pm-3m,True,0.0097889700999999,15.768882880204027,-0.0020462470499999,0.0,-100.0,0.0005145154,0.5634309900000006
metallic,RbP,extension_RbP_exp_mp-1179688,mp-1179688,C2/m,False,0.0020773586,0.0,0.007372250025,0.0025583985,0.0,-0.0018294858,0.0
metallic,RbP,extension_RbP_theo_mp-1058499,mp-1058499,Immm,True,0.0015008755,-27.750774469078177,0.007948733125,0.00181921575,-28.892400851548345,-0.00109030305,0.00026589499999996047
metallic,ReC,extension_ReC_anchor_mp-1079494,mp-1079494,P6_3/mmc,False,0.0056485903,0.0,-0.002268254925,0.0001061321,0.0,2.353189999995e-05,0.0
