compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,reaction_string,delta_icohp_total,delta_icohp_per_atom
theo_metastable_B3Ir2_mp-1228647,mp-1228647,B3Ir2,theo_metastable,,,True,0.06085322616666744,0.3333 B3Ir2 -> B + 0.6667 Ir,64.39124000000015,6.439124000000016
theo_metastable_B6Pb_mp-1096825,mp-1096825,B6Pb,theo_metastable,,,True,0.115100015000003,0.1667 B6Pb -> B + 0.1667 Pb,14.713150000000056,2.1018785714285793
theo_metastable_BPd5_mp-1228665,mp-1228665,BPd5,theo_metastable,,,True,0.13249513083333042,BPd5 -> B + 5 Pd,43.94649666666665,7.324416111111108
theo_metastable_BeAu3_mp-983539,mp-983539,BeAu3,theo_metastable,,,True,0.18183134000000178,BeAu3 -> Be + 3 Au,45.04971750000003,11.262429375000007
theo_metastable_BeCl2_mp-1190080,mp-1190080,BeCl2,theo_metastable,,,True,0.01870443305555547,BeCl2 -> Be + Cl2,-35.767364999999984,-1.9870758333333325
theo_metastable_CaGe2_mp-643542,mp-643542,CaGe2,theo_metastable,,,True,0.0978748566666674,CaGe2 -> Ca + 2 Ge,4.352050000000011,1.4506833333333369
theo_metastable_CoSe2_mp-1390196,mp-1390196,CoSe2,theo_metastable,,,True,0.07343032750000056,CoSe2 -> Co + 2 Se,7.569800000000043,0.6308166666666702
theo_metastable_Cr2C_mp-1226378,mp-1226378,Cr2C,theo_metastable,,,True,0.06254013708333694,0.5 Cr2C -> Cr + 0.5 C,0.7770250000000232,0.25900833333334106
theo_metastable_CrMo_mp-1226200,mp-1226200,CrMo,theo_metastable,,,True,0.11631646000000018,CrMo -> Cr + Mo,2.679375000000011,1.3396875000000055
theo_metastable_Ga2Se3_mp-1224809,mp-1224809,Ga2Se3,theo_metastable,,,True,0.006252534999998005,0.5 Ga2Se3 -> Ga + 1.5 Se,-7.033145000000012,-1.4066290000000023
theo_metastable_GeS_mp-12910,mp-12910,GeS,theo_metastable,,,True,0.0761541225000002,GeS -> Ge + S,5.022606250000003,1.2556515625000007
theo_metastable_HCl_mp-684609,mp-684609,HCl,theo_metastable,,,True,0.053566722500000274,2 HCl -> H2 + Cl2,-1.980934999999997,-0.9904674999999985
theo_metastable_HfMo_mp-1224314,mp-1224314,HfMo,theo_metastable,,,True,0.19909284749999756,HfMo -> Hf + Mo,4.630750000000017,2.3153750000000084
theo_metastable_IN2_mp-1097011,mp-1097011,IN2,theo_metastable,,,True,0.07299064583333248,IN2 -> I + N2,20.166330000000073,3.3610550000000123
theo_metastable_InSe2_mp-1232036,mp-1232036,InSe2,theo_metastable,,,True,0.17326202766492926,InSe2 -> In + 2 Se,8.645460000000014,1.4409100000000024
theo_metastable_IrCl3_mp-729507,mp-729507,IrCl3,theo_metastable,,,True,0.030088630624999446,IrCl3 -> Ir + 1.5 Cl2,30.32839000000004,1.8955243750000026
theo_metastable_K5As4_mp-684799,mp-684799,K5As4,theo_metastable,,,True,0.05643723222222263,0.2 K5As4 -> K + 0.8 As,4.430620000000033,0.4922911111111148
theo_metastable_KSn3_mp-1185151,mp-1185151,KSn3,theo_metastable,,,True,0.05729916087053466,KSn3 -> K + 3 Sn,30.23839999999997,3.7797999999999963
theo_metastable_Li3Ag_mp-976408,mp-976408,Li3Ag,theo_metastable,,,True,0.0013151149999997003,0.3333 Li3Ag -> Li + 0.3333 Ag,2.6126700000000156,0.6531675000000039
theo_metastable_LiTl3_mp-1185253,mp-1185253,LiTl3,theo_metastable,,,True,0.046669947499999864,LiTl3 -> Li + 3 Tl,5.769486666666634,1.4423716666666584
theo_metastable_Mg15B_mp-1023515,mp-1023515,Mg15B,theo_metastable,,,True,0.19432971906249996,0.06667 Mg15B -> Mg + 0.06667 B,11.486796666667125,0.7179247916666953
theo_metastable_MgF2_mp-560236,mp-560236,MgF2,theo_metastable,,,True,0.10763880333333375,MgF2 -> Mg + F2,2.3437,0.39061666666666667
theo_metastable_MgSn_mp-1094669,mp-1094669,MgSn,theo_metastable,,,True,0.0559883787500004,MgSn -> Mg + Sn,2.7707300000000012,1.3853650000000006
theo_metastable_MgSn_mp-1094801,mp-1094801,MgSn,theo_metastable,,,True,0.021182148749999463,MgSn -> Mg + Sn,1.7922800000000016,0.8961400000000008
theo_metastable_MnN_mp-1009130,mp-1009130,MnN,theo_metastable,,,True,0.01508596781249949,MnN -> Mn + 0.5 N2,0.6790412068966027,0.3395206034483014
theo_metastable_Na2Cl_mp-990084,mp-990084,Na2Cl,theo_metastable,,,True,0.1105395928735633,0.5 Na2Cl -> Na + 0.25 Cl2,0.7417050000000014,0.24723500000000045
theo_metastable_Na3Cl_mp-1064484,mp-1064484,Na3Cl,theo_metastable,,,True,0.145649899310345,0.3333 Na3Cl -> Na + 0.1667 Cl2,0.5529950000000019,0.13824875000000048
theo_metastable_NbRh2_mp-1220414,mp-1220414,NbRh2,theo_metastable,,,True,0.10426935750000332,NbRh2 -> Nb + 2 Rh,31.640390000000025,5.273398333333337
theo_metastable_NbS2_mp-774873,mp-774873,NbS2,theo_metastable,,,True,0.05761998666666823,NbS2 -> Nb + 2 S,11.980572500000022,1.996762083333337
theo_metastable_PtCl2_mp-1219748,mp-1219748,PtCl2,theo_metastable,,,True,0.04902293166666505,PtCl2 -> Pt + Cl2,11.04673000000001,1.8411216666666685
theo_metastable_Sc2O3_mp-755313,mp-755313,Sc2O3,theo_metastable,,,True,0.03639289474999963,0.5 Sc2O3 -> Sc + 0.75 O2,-0.8295675000001808,-0.08295675000001808
theo_metastable_ScTc3_mp-867262,mp-867262,ScTc3,theo_metastable,,,True,0.11536893812500004,ScTc3 -> Sc + 3 Tc,9.77876999999998,2.444692499999995
theo_metastable_SiAu3_mp-1186998,mp-1186998,SiAu3,theo_metastable,,,True,0.16429186749999758,SiAu3 -> Si + 3 Au,43.493705,10.87342625
theo_metastable_Sn7Pd5_mp-1219006,mp-1219006,Sn7Pd5,theo_metastable,,,True,0.04139117625000566,0.1429 Sn7Pd5 -> Sn + 0.7143 Pd,33.00643999999997,2.750536666666664
theo_metastable_SnBr2_mp-978985,mp-978985,SnBr2,theo_metastable,,,True,0.040465399999999985,SnBr2 -> Sn + 2 Br,9.17257999999999,1.5287633333333315
theo_metastable_Sr3As4_mp-678007,mp-678007,Sr3As4,theo_metastable,,,True,0.006247547857142877,0.3333 Sr3As4 -> Sr + 1.333 As,10.443770000000065,0.7459835714285761
theo_metastable_Sr3Sn_mp-1187136,mp-1187136,Sr3Sn,theo_metastable,,,True,0.11112304583333454,0.3333 Sr3Sn -> Sr + 0.3333 Sn,6.405574999999997,1.6013937499999993
theo_metastable_SrTl3_mp-1206636,mp-1206636,SrTl3,theo_metastable,,,True,0.029404816250000465,SrTl3 -> Sr + 3 Tl,8.822684999999996,2.205671249999999
theo_metastable_Ta4C3_mp-1218000,mp-1218000,Ta4C3,theo_metastable,,,True,0.03350051428571277,0.25 Ta4C3 -> Ta + 0.75 C,38.893215000000026,5.556173571428575
theo_metastable_TaP_mp-1187244,mp-1187244,TaP,theo_metastable,,,True,0.0032522499999991794,TaP -> Ta + P,2.4079677380952482,1.2039838690476241
theo_metastable_TaRe_mp-1217894,mp-1217894,TaRe,theo_metastable,,,True,0.11133223291667349,TaRe -> Ta + Re,5.216265000000028,2.608132500000014
theo_metastable_TcW_mp-1217337,mp-1217337,TcW,theo_metastable,,,True,0.10564943749999856,TcW -> Tc + W,7.42338500000001,3.711692500000005
theo_metastable_TiMo2_mp-1216675,mp-1216675,TiMo2,theo_metastable,,,True,0.061337100370366215,TiMo2 -> Ti + 2 Mo,10.12679500000003,3.3755983333333432
theo_metastable_TiNi_mp-1067248,mp-1067248,TiNi,theo_metastable,,,True,0.0020067824999996375,TiNi -> Ti + Ni,6.634860000000035,1.6587150000000088
theo_metastable_TiSi2_mp-570991,mp-570991,TiSi2,theo_metastable,,,True,0.17960538666666537,TiSi2 -> Ti + 2 Si,-4.002004999999979,-1.3340016666666596
theo_metastable_TiW_mp-1216621,mp-1216621,TiW,theo_metastable,,,True,0.022547341666665943,TiW -> Ti + W,6.920195000000007,3.4600975000000034
theo_metastable_Tl3Ga_mp-1187539,mp-1187539,Tl3Ga,theo_metastable,,,True,0.09724636562500422,0.3333 Tl3Ga -> Tl + 0.3333 Ga,13.506927499999986,3.3767318749999964
theo_metastable_Tl4Sn_mp-1216560,mp-1216560,Tl4Sn,theo_metastable,,,True,0.045918155999999044,0.25 Tl4Sn -> Tl + 0.25 Sn,-9.181490000000025,-1.836298000000005
theo_metastable_VCo3_mp-1095057,mp-1095057,VCo3,theo_metastable,,,True,0.09418410500000007,VCo3 -> V + 3 Co,70.70285999999987,8.837857499999984
theo_metastable_VN_mp-1017532,mp-1017532,VN,theo_metastable,,,True,0.10796184249999996,VN -> V + 0.5 N2,16.36381000000012,4.09095250000003
theo_metastable_Y3Co_mp-1189329,mp-1189329,Y3Co,theo_metastable,,,True,0.0015564962500009827,0.3333 Y3Co -> Y + 0.3333 Co,46.13566000000003,2.883478750000002
theo_metastable_YAg3_mp-1187811,mp-1187811,YAg3,theo_metastable,,,True,0.059440931413043074,YAg3 -> Y + 3 Ag,20.831834999999963,5.207958749999991
theo_metastable_ZnPb3_mp-1187949,mp-1187949,ZnPb3,theo_metastable,,,True,0.11069147749999786,ZnPb3 -> Zn + 3 Pb,23.305644999999995,5.826411249999999
theo_metastable_Zr3Be_mp-1188016,mp-1188016,Zr3Be,theo_metastable,,,True,0.14302901249999955,0.3333 Zr3Be -> Zr + 0.3333 Be,7.518172500000034,1.8795431250000085
theo_metastable_Zr3Ge_mp-1188039,mp-1188039,Zr3Ge,theo_metastable,,,True,0.18508675843749955,0.3333 Zr3Ge -> Zr + 0.3333 Ge,13.33900999999996,1.667376249999995
theo_metastable_ZrO2_mp-775909,mp-775909,ZrO2,theo_metastable,,,True,0.06265508166666578,ZrO2 -> Zr + O2,3.3100149999999857,0.5516691666666643
theo_metastable_ZrTi_mp-1215236,mp-1215236,ZrTi,theo_metastable,,,True,0.0883353483333309,ZrTi -> Zr + Ti,0.5065600000000217,0.25328000000001083
