compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom,delta_icohp_antibond,delta_icobi_antibond
extension_WC_poly_mp-1008630,mp-1008630,WC,extension,,True,True,0.8989987500000005,0.7454580049999997,0.0,-5.2316299999999986e-05
extension_WC_poly_mp-1008635,mp-1008635,WC,extension,,True,True,0.6728768300000034,0.5193360850000026,0.0,3.2539500000000013e-06
extension_Y3Co_mp-1105598,mp-1105598,Y3Co,extension,metallic,True,False,0.0,-0.10596457250000046,0.0014895409625,0.000455694887499975
extension_Zn13Rh_mp-13447,mp-13447,Zn13Rh,extension,metallic,True,False,0.0,-0.13494432535714346,0.00254779720714285,0.00037875919999999996
extension_Zn2Ag_mp-1093999,mp-1093999,Zn2Ag,extension,metallic,True,True,0.0,-0.02648108166666911,0.0,0.0
extension_Zn3Au_mp-1188000,mp-1188000,Zn3Au,extension,metallic,True,True,0.027401257187502637,-0.14945355749999933,1.063775e-06,0.0
extension_Zn7Tc_mp-1206378,mp-1206378,Zn7Tc,extension,metallic,True,True,0.0825775456249982,-0.05204390562500194,0.000853524425,-3.7360525e-05
extension_Zr3Fe_mp-31205,mp-31205,Zr3Fe,extension,metallic,True,False,0.0,-0.1094675950000017,0.002961589912499975,0.00075744985
extension_ZrHg3_mp-1608,mp-1608,ZrHg3,extension,metallic,True,False,0.02171306624999403,-0.06165371937500774,0.0,0.0
gasref_ZnSn_NiAs,,ZnSn,extension,metallic,True,True,,,0.0036654507,2.165095e-05
hull_ionic_NaCl_mp-22862,,NaCl,hull,ionic,False,,0.0,,0.03212899585000005,0.001599561375
hull_metallic_AlNi_mp-1487,,AlNi,hull,metallic,True,,0.0,,0.0154352008750001,0.00234004285
metastable_ionic_LiBr_mp-23259,,LiBr,metastable,ionic,False,,0.009895712500000542,,0.029717130025,0.000182228725
metastable_metallic_BeCu_mp-2323,,BeCu,metastable,metallic,True,,0.005036342500000401,,0.00403952552499995,0.00057208619999995
theo_metastable_Al4Si_mp-1228120,mp-1228120,Al4Si,theo_metastable,metallic,True,True,0.11491430399999913,0.11491430399999984,-0.0092462340299999,-0.0003719781
theo_metastable_AlSb_mp-1023918,mp-1023918,AlSb,theo_metastable,metallic,True,True,0.18779470750000016,-0.06518077750000018,0.00592205507499995,0.00023454817499995
theo_metastable_B3Ir2_mp-1228647,mp-1228647,B3Ir2,theo_metastable,,True,True,0.06085322616666744,-0.1111847268333321,0.006002946529999999,0.00100585079
theo_metastable_B6Pb_mp-1096825,mp-1096825,B6Pb,theo_metastable,covalent,False,True,0.115100015000003,0.11510001500000401,0.002246120999999986,0.0
theo_metastable_BPd5_mp-1228665,mp-1228665,BPd5,theo_metastable,,True,True,0.13249513083333042,-0.08821138208333441,-0.00874199871666656,0.002301028416666767
theo_metastable_BeAu3_mp-983539,mp-983539,BeAu3,theo_metastable,metallic,True,True,0.18183134000000178,0.08000512375000035,3.1913250000000003e-06,-0.00013116225
theo_metastable_BeCl2_mp-1190080,mp-1190080,BeCl2,theo_metastable,ionic,False,True,0.01870443305555547,-1.8274701494444443,0.049879818533333266,5.840333333333336e-06
theo_metastable_CaGe2_mp-643542,mp-643542,CaGe2,theo_metastable,metallic,True,True,0.0978748566666674,-0.4575655433333357,0.015546729233333334,0.0017455101333333331
theo_metastable_CoSe2_mp-1390196,mp-1390196,CoSe2,theo_metastable,,True,True,0.07343032750000056,-0.2722482618749993,0.0025680251333333338,6.016233333329998e-05
theo_metastable_Cr2C_mp-1226378,mp-1226378,Cr2C,theo_metastable,,True,True,0.06254013708333694,-0.03604538166666534,-0.00026584371666673354,0.0002236158
theo_metastable_CrMo_mp-1226200,mp-1226200,CrMo,theo_metastable,metallic,True,True,0.11631646000000018,0.11631646000000018,0.0009448123749999497,-4.105022499999999e-05
theo_metastable_Ga2Se3_mp-1224809,mp-1224809,Ga2Se3,theo_metastable,covalent,False,True,0.006252534999998005,-0.6946149294375005,0.008644481689999999,0.0
theo_metastable_GeS_mp-12910,mp-12910,GeS,theo_metastable,covalent,False,True,0.0761541225000002,-0.42503283624999977,0.004469376649999997,0.0
theo_metastable_HCl_mp-684609,mp-684609,HCl,theo_metastable,,False,True,0.053566722500000274,-0.7609282406249998,0.030407702524999955,2.1275500000000018e-06
theo_metastable_HfMo_mp-1224314,mp-1224314,HfMo,theo_metastable,metallic,True,True,0.19909284749999756,0.0690783037499898,0.002091108025,2.1526825e-05
theo_metastable_InSe2_mp-1232036,mp-1232036,InSe2,theo_metastable,,True,True,0.17326202766492926,-0.3989775288107656,0.003560649850000099,-0.0002528149
theo_metastable_IrCl3_mp-729507,mp-729507,IrCl3,theo_metastable,,False,True,0.030088630624999446,-0.9297515512499994,0.015332693962499935,0.0006677684625
theo_metastable_K5As4_mp-684799,mp-684799,K5As4,theo_metastable,,True,True,0.05643723222222263,-0.3641723795833336,-0.006181217372222223,5.3859105555555684e-05
theo_metastable_KSn3_mp-1185151,mp-1185151,KSn3,theo_metastable,metallic,True,True,0.05729916087053466,-0.12330395556249929,0.0001669023500001001,0.000289921725
theo_metastable_Li3Ag_mp-976408,mp-976408,Li3Ag,theo_metastable,metallic,True,True,0.0013151149999997003,-0.1210302612499996,0.0,0.0
theo_metastable_LiTl3_mp-1185253,mp-1185253,LiTl3,theo_metastable,metallic,True,True,0.046669947499999864,-0.08112993416666825,0.0,0.0
theo_metastable_Mg15B_mp-1023515,mp-1023515,Mg15B,theo_metastable,,True,True,0.19432971906249996,0.17783865718749947,-0.009653995031249994,-0.0014004919
theo_metastable_MgF2_mp-560236,mp-560236,MgF2,theo_metastable,ionic,False,True,0.10763880333333375,-3.709645951666666,0.022166563699999968,0.0
theo_metastable_MgSn_mp-1094669,mp-1094669,MgSn,theo_metastable,metallic,True,True,0.0559883787500004,-0.06933570499999853,-0.01341912100000005,-0.0016835023
theo_metastable_MgSn_mp-1094801,mp-1094801,MgSn,theo_metastable,metallic,True,True,0.021182148749999463,-0.10414193499999946,-0.01176021700000005,-0.0010984885499999001
theo_metastable_Na2Cl_mp-990084,mp-990084,Na2Cl,theo_metastable,,True,True,0.1105395928735633,-1.2894729642528737,0.024431952616666735,0.002129828333333333
theo_metastable_Na3Cl_mp-1064484,mp-1064484,Na3Cl,theo_metastable,,True,True,0.145649899310345,-0.904359518534483,0.019864763849999977,0.0019639248124999997
theo_metastable_NbRh2_mp-1220414,mp-1220414,NbRh2,theo_metastable,metallic,True,True,0.10426935750000332,-0.36841257833333313,0.013730607899999931,0.0033758879166666663
theo_metastable_NbS2_mp-774873,mp-774873,NbS2,theo_metastable,,True,True,0.05761998666666823,-1.2909205533333303,0.01924427013333333,0.0
theo_metastable_PtCl2_mp-1219748,mp-1219748,PtCl2,theo_metastable,,False,True,0.04902293166666505,-0.7323549772222252,0.022954501116666567,0.0018340421833333332
theo_metastable_Sc2O3_mp-755313,mp-755313,Sc2O3,theo_metastable,,False,True,0.03639289474999963,-3.9323397459999994,0.017539997260000002,0.0025874395499999995
theo_metastable_ScTc3_mp-867262,mp-867262,ScTc3,theo_metastable,metallic,True,True,0.11536893812500004,-0.11340673750000008,0.0031664845499999998,-3.291325e-05
theo_metastable_SiAu3_mp-1186998,mp-1186998,SiAu3,theo_metastable,metallic,True,True,0.16429186749999758,0.16429186749999758,-0.0046314250749999,0.0
theo_metastable_Sn7Pd5_mp-1219006,mp-1219006,Sn7Pd5,theo_metastable,metallic,True,True,0.04139117625000566,-0.37680645499999815,0.02137391094166667,0.0017830379500000002
