compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,delta_per_formula_unit_eV,delta_per_atom_eV,delta_per_bond_eV
extension_KF3_theo_mp-2749823,mp-2749823,KF3,extension,ionic,False,True,0.011928009062500244,-4.6020299999999965,-1.1505074999999991,-0.02895214894058993
extension_KMg15_mp-1023498,mp-1023498,KMg15,extension,metallic,True,True,0.10105966356250029,0.12897000000000014,0.008060625000000009,0.0023413528138528147
extension_KN2_anchor_mp-1071868,mp-1071868,KN2,extension,metallic,True,False,1.1629511857777777,-0.42586499999999816,-0.1419549999999994,-1.6128380656108599
extension_KN2_poly_mp-1180757,mp-1180757,KN2,extension,metallic,True,True,1.2293322591111107,-3.012030000000003,-1.004010000000001,-1.6027713262599472
extension_KN3_mp-827,mp-827,KN3,extension,mixed,False,False,0.0,7.284005000000022,1.8210012500000055,-2.295742583979328
extension_KN3_theo_mp-636056,mp-636056,KN3,extension,metallic,True,True,1.0369771337499998,-9.225250000000003,-2.3063125000000007,-2.1320249790356396
extension_KP15_mp-1211471,mp-1211471,KP15,extension,mixed,False,True,0.0,-1.8569110714285415,-0.11605694196428384,-0.013990737208085136
extension_KP_exp_mp-1058315,mp-1058315,KP,extension,metallic,True,False,1.008041285,-4.319927738095241,-2.1599638690476204,-0.3085227332381343
extension_KP_theo_mp-1057787,mp-1057787,KP,extension,metallic,True,True,1.0092306499999992,-4.273297738095241,-2.1366488690476206,-0.3072956279749764
extension_Li2O_exp_mp-1960,mp-1960,Li2O,extension,ionic,False,False,0.0,7.00976291666667,2.33658763888889,-0.09635904545454543
extension_Li2O_theo_mp-755894,mp-755894,Li2O,extension,ionic,False,True,0.0843597108333336,5.844387916666662,1.948129305555554,-0.08675566197508078
extension_Li2S_exp_mp-1125,mp-1125,Li2S,extension,ionic,False,False,0.061509288333333245,5.5513610416666666,1.8504536805555556,-0.06942981715686963
extension_Li2S_theo_mp-557142,mp-557142,Li2S,extension,ionic,False,True,0.1749633300000002,4.515508541666673,1.505169513888891,-0.02009581768555052
extension_Li3Ca_mp-976075,mp-976075,Li3Ca,extension,metallic,True,True,0.06004755895833336,-3.543419999999994,-0.8858549999999985,-0.05937966126268612
extension_Li3N_exp_mp-2341,mp-2341,Li3N,extension,ionic,False,False,0.003927161250000033,7.389704999999999,1.8474262499999998,-0.09457111603672147
extension_LiCl_exp_mp-22905,mp-22905,LiCl,extension,ionic,False,False,0.02431463874999995,5.606035833333337,2.8030179166666684,0.036910201612903315
extension_LiCl_theo_mp-1185319,mp-1185319,LiCl,extension,ionic,False,True,0.0038527562499997003,5.000918333333335,2.5004591666666673,0.12336782991202352
extension_LiF_exp_mp-1138,mp-1138,LiF,extension,ionic,False,False,0.0,8.934693333333348,4.467346666666674,-0.029762219504239906
extension_LiF_theo_mp-1009009,mp-1009009,LiF,extension,ionic,False,True,0.2875420599999998,9.026113333333319,4.513056666666659,-0.04636250000000003
extension_LiN3_mp-2659,mp-2659,LiN3,extension,mixed,False,False,0.0,19.296948333333354,4.824237083333339,-0.32645857960823693
extension_LiP5_exp_mp-2412,mp-2412,LiP5,extension,mixed,False,False,0.007694938690475439,5.425947142857147,0.9043245238095245,-0.08961343980758557
extension_LiP5_mp-2412,mp-2412,LiP5,extension,mixed,False,False,0.007694938690475439,5.425947142857147,0.9043245238095245,-0.08961343980758557
extension_LiP5_mp-32760,mp-32760,LiP5,extension,mixed,False,True,0.09630660601190577,5.215294642857145,0.8692157738095242,-0.06729724517267083
extension_LiP5_theo_mp-32760,mp-32760,LiP5,extension,mixed,False,True,0.09630660601190577,5.215294642857145,0.8692157738095242,-0.06729724517267083
extension_LiRh3_mp-1001787,mp-1001787,LiRh3,extension,metallic,True,False,0.0,-7.660406666666649,-1.9151016666666623,-0.019621451753959657
extension_LiS4_mp-1143546,mp-1143546,LiS4,extension,mixed,False,True,0.21230688803125108,-0.4483141666666519,-0.08966283333333039,1.0067146005209102
extension_Mg15Ni_mp-1023622,mp-1023622,Mg15Ni,extension,metallic,True,True,0.07608314989583365,-4.493439999999996,-0.28083999999999976,-0.0021303222267928107
extension_Mg2Ge_mp-250,mp-250,Mg2Ge,extension,metallic,True,False,0.4831721600000005,-4.035809999999994,-1.3452699999999982,-0.05654774267399261
extension_Mg3Al_mp-978271,mp-978271,Mg3Al,extension,metallic,True,True,0.027507425520833628,-11.937509999999996,-2.984377499999999,-0.020677145833333313
extension_Mg3Ru2_mp-625,mp-625,Mg3Ru2,extension,metallic,True,False,0.0,-9.638152499999999,-1.9276304999999998,-0.046843544671644324
extension_Mg3Zr_mp-1094466,mp-1094466,Mg3Zr,extension,metallic,True,True,0.06476887374999984,-6.778785000000009,-1.6946962500000022,-0.06518062500000009
extension_Mg5Sc_mp-1185837,mp-1185837,Mg5Sc,extension,metallic,True,True,0.0599288583333335,-2.8230349999999977,-0.47050583333333296,-0.013214240459153231
extension_Mg5Te_mp-1185828,mp-1185828,Mg5Te,extension,metallic,True,True,0.22432475583333433,-1.0028166666666647,-0.1671361111111108,-0.014529049380851686
extension_MgAl2_mp-1102064,mp-1102064,MgAl2,extension,metallic,True,False,0.04160550583333311,-20.688814999999984,-6.896271666666661,-0.04118944117647047
extension_MgCd_mp-11307,mp-11307,MgCd,extension,metallic,True,False,0.0,-4.273054999999994,-2.136527499999997,-0.07962367528735625
extension_MgCl2_exp_mp-23210,mp-23210,MgCl2,extension,ionic,False,False,0.0,0.4705266666666539,0.15684222222221797,-0.003024219704275341
extension_MgCl2_theo_mp-569626,mp-569626,MgCl2,extension,ionic,False,True,0.19913082333333376,-0.2587050000000026,-0.08623500000000088,-0.004241065573770533
extension_MgF2_exp_mp-1072956,mp-1072956,MgF2,extension,ionic,False,False,0.0024727899999996694,0.004355000000012765,0.0014516666666709217,-0.018930197325505452
extension_MgF2_theo_mp-1062842,mp-1062842,MgF2,extension,ionic,False,True,0.26364889999999974,0.06870000000000864,0.02290000000000288,-0.023331622574955843
extension_MgIn2_mp-1077016,mp-1077016,MgIn2,extension,metallic,True,False,0.1897874227777776,-14.104575000000011,-4.701525000000004,0.08203331495098029
extension_MgO_exp_mp-549706,mp-549706,MgO,extension,ionic,False,False,0.11804199249999936,-2.835813750000008,-1.417906875000004,-0.12054526165871762
