kpoint_fail_frac,max_band_deviation,charge_spilling_pct,compound_id,delta_per_atom_eV,robust_z
0.004629629629629629,1.70842,3.38,extension_Ca3N2_theo_mp-1013524,-2.5203040000000008,0.6711085195371266
0.056,7.8155,3.16,extension_Ca3Zn_mp-1039229,-3.11502375,0.9478731549831528
,,1.03,extension_CaCl2_exp_mp-23214,-0.3198966666666661,0.35289469112262295
0.1712962962962963,9.29773,1.07,extension_CaCl2_theo_mp-1120739,-0.2208466666666669,0.39898957386517303
,,1.03,extension_CaF2_exp_mp-10464,-0.2226699999999972,0.39814104952190754
0.05442176870748299,5.05349,1.07,extension_CaF2_theo_mp-554355,-0.1814066666666664,0.4173437603908289
,,1.68,extension_CaN6_mp-656097,1.449300000000008,1.176225462435207
0.1,8.92996,1.69,extension_CaN6_mp-676,1.698214285714282,1.292062663979328
0.20987654320987653,17.2526,2.39,extension_CaN_mp-1058549,-2.456447500000003,0.6413916302907907
0.181640625,9.89504,2.96,extension_CaNi_mp-1059707,-1.9252649999999996,0.39419531476938774
0.046875,8.01316,2.33,extension_CaO_exp_mp-1079707,-2.212696875000002,0.5279574407118061
0.19478737997256515,15.4374,2.06,extension_CaO_mp-2605,-0.9524718750000014,0.05851326705427849
0.056,8.35444,4.35,extension_CaO_theo_mp-1181903,-2.9971018750000016,0.8929958707741005
0.029296875,9.30088,4.63,extension_Ca_mp-21,,
0.19444444444444445,9.01999,1.2,extension_CdIn3_mp-1183674,-6.877402500000005,2.6987707553295817
0.02666666666666667,0.00962316,1.3,extension_CdP4_mp-7904,-0.511723190476188,0.26362441225426375
0.425,9.43872,1.91,extension_CdSb3_mp-1183739,-1.75594375,0.31539831159349624
0.148,9.97972,0.96,extension_Cd_mp-94,,
,,0.99,extension_Cdiamond_mp-66,,
0.31712962962962965,9.6599,1.04,extension_Cgraphite_mp-48,,
,,1.15,extension_Cl_mp-22848,,
0.012896825396825396,8.41402,0.97,extension_Clonsdaleite_mp-47,,
0.11458333333333333,0.559702,1.7,extension_CoGe_mp-21237,-2.9618937499999856,0.8766110712439562
0.1381345926800472,9.43123,1.73,extension_CoRe_mp-1225995,-1.0393624999999886,0.01807699072109995
0.12,8.30843,2.16,extension_CoSn_mp-20536,-5.095461666666671,1.8695092332027503
0.2985889849795175,9.98262,2.61,extension_Co_mp-102,,
,,1.64,extension_Cr5Si3_mp-7506,0.7252837499999956,0.8392901353534133
0.037900874635568516,9.15266,2.62,extension_CrRe3_mp-1183703,-3.432474999999995,1.0956053926936609
0.0755608028335301,13.5909,1.11,extension_CrW_mp-1226162,-4.0598475,1.3875656332126005
0.09602194787379972,9.80254,1.78,extension_Cr_mp-90,,
0.06666666666666667,8.78489,2.4,extension_Cs2S_exp_mp-1077814,0.9554056250000016,0.9463819157130411
0.2037037037037037,9.99564,0.74,extension_CsCl_exp_mp-573697,0.8829825000000002,0.9126783775532821
0.2099125364431487,9.70506,2.12,extension_CsF_exp_mp-8455,3.846400000000005,2.291763508090609
0.256,9.53582,1.91,extension_CsN3_exp_mp-510557,1.4024512499999986,1.1544234671006741
