compound_id,structure_file,n_sites,n_bonds_icohp,n_bonds_icobi,error,warnings,icohp_n_bonds_used,icohp_coord_bound,icohp_percolation_weight_min,icohp_percolation_direction,icohp_percolation_weight_a,icohp_percolation_status_a,icohp_percolation_weight_b,icohp_percolation_status_b,icohp_percolation_weight_c,icohp_percolation_status_c,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_n_bonds_used,icobi_coord_bound,icobi_percolation_weight_min,icobi_percolation_direction,icobi_percolation_weight_a,icobi_percolation_status_a,icobi_percolation_weight_b,icobi_percolation_status_b,icobi_percolation_weight_c,icobi_percolation_status_c,icobi_sum,icobi_mean,icobi_min,icobi_max
exp_metastable_K_mp-10157,mp_dataset/structures/exp_metastable_K_mp-10157/CONTCAR,1,12,12,,,12,3,0.08067,c,0.08074,ok,0.08091,ok,0.08067,ok,-0.9690000000000002,-0.08075000000000002,-0.08111,-0.0804,12,3,0.04301,a,0.04301,ok,0.04302,ok,0.04301,ok,0.51616,0.04301333333333333,0.043,0.04303
exp_metastable_Li13Sn5_mp-30769,mp_dataset/structures/exp_metastable_Li13Sn5_mp-30769/CONTCAR,18,576,576,,,576,5,0.0008500000000000001,b,0.00114,ok,0.0008500000000000001,ok,0.0027199999999999998,ok,-135.51692999999986,-0.23527244791666643,-2.78997,0.16607,576,5,0.00236,b,0.0023899999999999998,ok,0.00236,ok,0.0042,ok,21.995880000000025,0.038187291666666706,0.00028,0.60777
exp_metastable_Li3Hg_mp-1646,mp_dataset/structures/exp_metastable_Li3Hg_mp-1646/CONTCAR,4,140,140,,,140,5,0.0012,c,0.00528,ok,0.00626,ok,0.0012,ok,-31.15397000000001,-0.22252835714285724,-1.7962,0.02337,140,5,0.00243,b,0.00246,ok,0.00243,ok,0.0034799999999999996,ok,4.22476,0.03017685714285714,0.00091,0.19753
exp_metastable_MgCl2_mp-570259,mp_dataset/structures/exp_metastable_MgCl2_mp-570259/CONTCAR,3,66,66,,,66,5,0.00019,c,0.00114,ok,0.00114,ok,0.00019,ok,-6.3558699999999995,-0.0963010606060606,-0.93348,-0.00019,66,5,1e-05,c,0.00023,ok,0.00023,ok,1e-05,ok,0.9877900000000005,0.01496651515151516,1e-05,0.13124
exp_metastable_MgH2_mp-23711,mp_dataset/structures/exp_metastable_MgH2_mp-23711/CONTCAR,12,560,560,,,560,5,1e-05,a,1e-05,ok,1e-05,ok,2e-05,ok,-15.237529999999985,-0.027209874999999974,-0.67434,0.01366,560,5,0.0,a,0.0,ok,0.0,ok,0.0,ok,3.553290000000004,0.006345160714285722,0.0,0.14695
exp_metastable_MgPd3_mp-7753,mp_dataset/structures/exp_metastable_MgPd3_mp-7753/CONTCAR,4,144,144,,,144,3,0.00221,a,0.00221,ok,0.00222,ok,0.00222,ok,-30.196539999999995,-0.2096981944444444,-1.78999,0.00423,144,3,0.00011,a,0.00011,ok,0.00011,ok,0.00011,ok,5.304309999999998,0.0368354861111111,1e-05,0.25523
exp_metastable_Mo3Se4_mp-21021,mp_dataset/structures/exp_metastable_Mo3Se4_mp-21021/CONTCAR,14,262,262,,,262,3,0.00184,b,0.00185,ok,0.00184,ok,0.00184,ok,-101.47260999999999,-0.3873000381679389,-2.63959,6e-05,262,3,0.00041,b,0.00041999999999999996,ok,0.00041,ok,0.00041,ok,25.55940999999999,0.09755499999999996,0.00013,0.62532
exp_metastable_NaN3_mp-1066400,mp_dataset/structures/exp_metastable_NaN3_mp-1066400/CONTCAR,4,135,135,,,135,5,0.0007,a,0.0007,ok,0.0007,ok,0.0007,ok,-42.82389999999999,-0.317214074074074,-18.9422,0.0007,135,5,4e-05,a,4e-05,ok,4e-05,ok,4e-05,ok,5.088849999999999,0.03769518518518518,4e-05,1.90013
exp_metastable_Nb2O5_mp-1595,mp_dataset/structures/exp_metastable_Nb2O5_mp-1595/CONTCAR,7,241,241,,,241,5,9.999999999999999e-05,c,0.00013,ok,0.00013000000000000002,ok,9.999999999999999e-05,ok,-65.10020999999995,-0.2701253526970952,-8.78903,0.00406,241,5,8e-05,a,8e-05,ok,0.00012,ok,0.00013000000000000002,ok,10.802569999999978,0.0448239419087136,2e-05,1.54437
exp_metastable_NiB_mp-14019,mp_dataset/structures/exp_metastable_NiB_mp-14019/CONTCAR,4,270,270,,,270,5,0.00041,c,0.00044,ok,0.00062,ok,0.00041,ok,-41.608700000000006,-0.15410629629629632,-6.1857,0.0031,270,5,0.00074,b,0.00075,ok,0.00074,ok,0.00105,ok,7.152239999999997,0.02648977777777777,0.00027,0.69959
exp_metastable_NiHg4_mp-570835,mp_dataset/structures/exp_metastable_NiHg4_mp-570835/CONTCAR,5,108,108,,,108,3,0.00109,c,0.00136,ok,0.0013,ok,0.00109,ok,-40.18178000000001,-0.3720535185185186,-2.23249,0.00736,108,3,0.00221,c,0.00224,ok,0.00231,ok,0.00221,ok,7.332370000000001,0.06789231481481482,0.00216,0.31289
exp_metastable_NiS_mp-1547,mp_dataset/structures/exp_metastable_NiS_mp-1547/CONTCAR,6,243,243,,,243,5,0.0003,a,0.0003,ok,0.00031,ok,0.0003,ok,-31.109519999999993,-0.12802271604938267,-1.72695,0.00152,243,5,0.00099,a,0.00099,ok,0.00099,ok,0.001,ok,7.116830000000002,0.02928736625514404,0.00017,0.28097
exp_metastable_PS_mp-612,mp_dataset/structures/exp_metastable_PS_mp-612/CONTCAR,16,282,282,,,282,3,8e-05,c,0.00015999999999999999,ok,0.00015999999999999999,ok,8e-05,ok,-111.38079000000012,-0.39496734042553233,-5.9418,0.06036,282,3,0.00017,a,0.00017,ok,0.00017,ok,0.00028000000000000003,ok,21.31196,0.07557432624113475,2e-05,0.99077
exp_metastable_PbAu2_mp-19871,mp_dataset/structures/exp_metastable_PbAu2_mp-19871/CONTCAR,6,168,168,,,168,5,0.00201,c,0.00207,ok,0.00207,ok,0.00201,ok,-56.00781,-0.3333798214285714,-2.39154,0.0033,168,5,0.00352,a,0.00352,ok,0.00354,ok,0.00352,ok,8.898700000000002,0.052968452380952394,0.0035,0.30531
exp_metastable_PbSe_mp-22009,mp_dataset/structures/exp_metastable_PbSe_mp-22009/CONTCAR,4,42,42,,[icohp] direction c: No non-contractile path found in this lattice direction within the search bound (+/-3 cells). The bonding network defined by the supplied ICOHP/ICOBI cutoff is disconnected along this direction (or the bound is too tight for the input data -- increase --coord-bound).; [icobi] direction c: No non-contractile path found in this lattice direction within the search bound (+/-3 cells). The bonding network defined by the supplied ICOHP/ICOBI cutoff is disconnected along this direction (or the bound is too tight for the input data -- increase --coord-bound).,42,3,0.01682,b,0.01685,ok,0.01682,ok,,disconnected,-17.72987000000001,-0.4221397619047621,-2.58055,-0.00216,42,3,0.0101,b,0.01011,ok,0.0101,ok,,disconnected,4.581039999999999,0.10907238095238092,0.00191,0.71888
exp_metastable_Rb2Hg7_mp-31474,mp_dataset/structures/exp_metastable_Rb2Hg7_mp-31474/CONTCAR,9,108,108,,,108,3,0.03138,a,0.03138,ok,0.03162,ok,0.07777,ok,-52.410810000000005,-0.4852852777777778,-2.18162,-0.01567,108,3,0.00843,a,0.00843,ok,0.00844,ok,0.04171,ok,9.955439999999998,0.09217999999999998,0.00415,0.42966
exp_metastable_Re3Ge7_mp-29141,mp_dataset/structures/exp_metastable_Re3Ge7_mp-29141/CONTCAR,20,634,634,,,634,5,0.00242,c,0.0029899999999999996,ok,0.0072699999999999996,ok,0.00242,ok,-211.99109999999985,-0.3343708201892742,-4.12587,0.0011,634,5,0.00368,a,0.00368,ok,0.00473,ok,0.00943,ok,43.85449000000005,0.0691711198738171,0.00046,0.65635
